proprietor,Address,city,State 1,Latitude,Longitude,Type
and,31 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,Restaurant
and,31 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,Restaurant
Packard Standard Schiller,313 S. Broadway,Los Angeles, CA,34.05077,-118.24845,Restaurant
Packard Standard Schiller,313 S. Broadway,Los Angeles, CA,34.05077,-118.24845,Restaurant
Tel. Red 1162,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,Restaurant
"Geo H. Boutelle, Pasadena Tea",33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,Restaurant
Tel. Red 1162,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,Restaurant
Geo H. Boutelle,33 N. Fair Oaks Avenue,Pasadena, CA,34.146596,-118.150617,Restaurant
post office,33 W. Colorado St.,Los Angeles, CA,34.145618,-118.151193,Restaurant
Salyer's Piano House,353 S. Broadway,Los Angeles, CA,34.04988,-118.24927,Restaurant
Salyer's Piano House,353 S. Broadway,Los Angeles, CA,34.04988,-118.24927,Restaurant
Pasadena Tea Co.,36 N. Fair Oaks Avenue,Pasadena, CA,34.199996,-118.145623,Restaurant
Pasadena Tea Co.,36 N. Fair Oaks. Avenue,Pasadena, CA,34.199996,-118.145623,Restaurant
Shoes,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,Restaurant
Blackstone Fine Shoes,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,Restaurant
Shoes,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,Restaurant
Blackstone Fine Shoes,37 N. Fair Oaks Avenue,Pasadena, CA,34.200083,-118.14558,Restaurant
Tel. Red 611,41 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,Restaurant
Tel. Red 611,41 N. Fair Oaks Avenue,Pasadena, CA,34.146204,-118.151025,Restaurant
at Joseph's,426-428 S. Cor. Spring,Los Angeles, CA,33.973951,-118.248405,Restaurant
and carpets,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,Restaurant
Joseph's,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,Restaurant
and carpets,426-428 S. Spring,Los Angeles, CA,33.973951,-118.248405,Restaurant
7 Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
on time,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
household goods,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
on time,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
cheap. Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
7 Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
on time,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
household goods,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
on time,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
cheap. Joseph's,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
goods cheap,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
and carpets,426-428 S. Spring St..,Los Angeles, CA,34.04807,-118.248758,Restaurant
Boston Cash Dry Good House,43 and 45 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,Restaurant
dealing;,43 and 45 N. Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,Restaurant
House,43 and 45 N.Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,Restaurant
assistant parlors,43 W. Colorado St.,Pasadena, CA,34.146204,-118.151025,Restaurant
Le Sage Bros.,433 S. Broadway,Los Angeles, CA,34.049142,-118.249841,Restaurant
Le Sage Bros.,433 S. Broadway,Los Angeles, CA,34.049142,-118.249841,Restaurant
Co. Department Store,437 S. Broadway,Los Angeles, CA,34.04875,-118.25034,Restaurant
Co. Department Store,437 S. Broadway,Los Angeles, CA,34.04875,-118.25034,Restaurant
Boston Cash Dry Good House,45 N. Fair Oaks Avenue,Pasadena, CA,34.146692,-118.150618,Restaurant
and,45 N. Fair Oaks Avenue,Pasadena, CA,34.146692,-118.150618,Restaurant
Cal. Business office,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,Restaurant
The Liberator,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,Restaurant
Cal. Business office,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,Restaurant
Address The Liberator,620 S. Broadway,Los Angeles, CA,34.04603,-118.25236,Restaurant
and repairing,632 S. Main St.,Los Angeles, CA,34.04441,-118.25059,Restaurant
work promptly done,707 S. Fair Oaks Avenue,Pasadena, CA,34.133588,-118.150505,Restaurant
work promptly done,707 S. Fair Oaks Avenue,Pasadena, CA,34.133588,-118.150505,Restaurant
 Gilbert's,7th and Broadway,Los Angeles, CA,34.017375,-118.490737,Restaurant
week at Gilbert's,7th and Broadway,Los Angeles, CA,34.017375,-118.490737,Restaurant
and contract work,880 S. Fair Oaks Ave,Pasadena, CA,34.132376,-118.1502,Restaurant
and contract work,880 S. Fair Oaks Ave,Pasadena, CA,34.132376,-118.1502,Restaurant
Co. undertakers, Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,Restaurant
Spring Dept Store, Cor of Fourth and  Broadway,Los Angeles, CA,33.99305,-118.471244,Restaurant
Department Store, Cor. Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,Restaurant
Department Store, Cor. Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,Restaurant
California building, cor. of Spring and Second St..,Los Angeles, CA,34.163236,-117.361679,Restaurant
"McLain & Gleason, prescription druggists", cor. Second and Broadway,Los Angeles, CA,34.013553,-118.495433,Restaurant
prescription druggists, cor. Second and Broadway,Los Angeles, CA,34.013553,-118.495433,Restaurant
cut rates., Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,Restaurant
cut rates., Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,Restaurant
rates., Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,Restaurant
druggist, Cor. Third and Main St.,Los Angeles, CA,34.422312,-117.306656,Restaurant
, Cor of Spring and Second St.,Los Angeles, CA,34.163236,-117.361679,Restaurant
The Broadway Department Store, Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,Restaurant
employment agency,No. 55 N. Fair Oaks Avenue,Pasadena, CA,34.146718,-118.150634,Restaurant
employment agency,No. 55 N. Fair Oaks Avenue,Pasadena, CA,34.146718,-118.150634,Restaurant
California building, northeast  corner of Spring and Second St..,Los Angeles, CA,34.46712,-118.19955,Restaurant
St., Third door from Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,Restaurant
Rev. C.H. Anderson of, Pennsylvania Avenue,Los Angeles, CA,34.047596,-118.21763,Restaurant
Rev. C.H. Anderson of, Pennsylvania Avenue,Los Angeles, CA,34.047596,-118.21763,Restaurant
Dean's Drug Store, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,Restaurant
Dean's Drug Store, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,Restaurant
Drug Store, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,Restaurant
St., Third door from Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,Restaurant
St. John's Episcopal Church,?,Los Angeles, CA,33.973951,-118.248405,Restaurant
,232 W. Second St.,Los Angeles, CA,34.05206,-118.2465,Restaurant
at Joseph's. 426-428 S.,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's. 426-428 S.,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,Restaurant
,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,Restaurant
on time. 426-428 S.,425-428 S. Spring St,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's. 426-428 S.,425-428 S.Spring St.,Los Angeles, CA,34.04807,-118.248758,Restaurant
at Joseph's. 426-428 S.,"425,428 2. Spring St.",Los Angeles, CA,34.0398,-118.21254,Restaurant
on time. 426-428 S.,426-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,Restaurant
Under City Hall,43 and 45 N.Fair Oaks,Pasadena, CA,33.786594,-118.298662,Restaurant
boy up for school. The,Broadway,Los Angeles, CA,33.98171,-118.060372,Restaurant
private ambulance BreseeBros. Co. undertakers,Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,Restaurant
private ambulance BreseeBros. Co. undertakers,Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,Restaurant
at Joseph's. 426-428 S.,425-428 S. Spring St,Los Angeles, CA,34.04807,-118.248758,Restaurant
